"Frequency","Power"
5.17906e+09,-97.2426
5.17906e+09,-91.9248
5.17906e+09,-96.522
5.17906e+09,-120.25
5.17906e+09,-96.2284
5.17906e+09,-89.8201
5.17906e+09,-93.1541
5.17906e+09,-91.5809
5.17906e+09,-99.2975
5.17906e+09,-92.3655
5.17906e+09,-91.126
5.17907e+09,-90.9563
5.17907e+09,-93.4911
5.17907e+09,-94.1936
5.17907e+09,-92.4325
5.17907e+09,-97.4174
5.17907e+09,-98.7017
5.17907e+09,-94.5193
5.17907e+09,-91.6226
5.17907e+09,-91.9643
5.17907e+09,-97.0295
5.17907e+09,-92.1351
5.17907e+09,-96.051
5.17907e+09,-91.3113
5.17907e+09,-92.0025
5.17907e+09,-99.564
5.17907e+09,-91.9105
5.17907e+09,-86.6012
5.17907e+09,-84.5314
5.17907e+09,-86.3738
5.17908e+09,-92.7533
5.17908e+09,-97.2266
5.17908e+09,-100.466
5.17908e+09,-92.9984
5.17908e+09,-96.5342
5.17908e+09,-98.3105
5.17908e+09,-92.1397
5.17908e+09,-96.1862
5.17908e+09,-94.5337
5.17908e+09,-93.676
5.17908e+09,-95.5355
5.17908e+09,-94.3943
5.17908e+09,-101.602
5.17908e+09,-100.857
5.17908e+09,-93.5016
5.17908e+09,-100.161
5.17908e+09,-96.0034
5.17908e+09,-97.8795
5.17908e+09,-90.9486
5.17908e+09,-90.9829
5.17909e+09,-94.1059
5.17909e+09,-96.2153
5.17909e+09,-92.7072
5.17909e+09,-94.9375
5.17909e+09,-100.911
5.17909e+09,-106.564
5.17909e+09,-92.1439
5.17909e+09,-92.1863
5.17909e+09,-100.245
5.17909e+09,-94.1213
5.17909e+09,-95.9027
5.17909e+09,-99.2593
5.17909e+09,-93.3892
5.17909e+09,-92.7274
5.17909e+09,-97.3418
5.17909e+09,-114.643
5.17909e+09,-105.288
5.17909e+09,-96.9936
5.17909e+09,-99.5836
5.1791e+09,-106.482
5.1791e+09,-109.126
5.1791e+09,-106.856
5.1791e+09,-106.168
5.1791e+09,-93.3269
5.1791e+09,-97.7883
5.1791e+09,-107.286
5.1791e+09,-97.4479
5.1791e+09,-90.05
5.1791e+09,-90.5192
5.1791e+09,-99.5216
5.1791e+09,-87.224
5.1791e+09,-88.2034
5.1791e+09,-95.4096
5.1791e+09,-97.1955
5.1791e+09,-121.336
5.1791e+09,-94.6903
5.1791e+09,-94.0936
5.1791e+09,-97.8454
5.1791e+09,-95.5452
5.17911e+09,-90.7232
5.17911e+09,-103.142
5.17911e+09,-97.7114
5.17911e+09,-97.3759
5.17911e+09,-113.544
5.17911e+09,-120.515
5.17911e+09,-98.4417
5.17911e+09,-102.409
5.17911e+09,-99.2443
5.17911e+09,-94.5595
5.17911e+09,-95.6312
5.17911e+09,-106.497
5.17911e+09,-98.9509
5.17911e+09,-94.6066
5.17911e+09,-104.084
5.17911e+09,-112.359
5.17911e+09,-102.881
5.17911e+09,-98.6871
5.17911e+09,-97.1375
5.17912e+09,-101.062
5.17912e+09,-95.4528
5.17912e+09,-96.8723
5.17912e+09,-97.2324
5.17912e+09,-93.6255
5.17912e+09,-93.8996
5.17912e+09,-99.7545
5.17912e+09,-100.394
5.17912e+09,-101.823
5.17912e+09,-114.518
5.17912e+09,-95.0837
5.17912e+09,-98.0599
5.17912e+09,-102.757
5.17912e+09,-92.8795
5.17912e+09,-94.3662
5.17912e+09,-95.2626
5.17912e+09,-95.2805
5.17912e+09,-103.405
5.17912e+09,-95.7049
5.17912e+09,-92.7656
5.17913e+09,-108.618
5.17913e+09,-90.8457
5.17913e+09,-94.1404
5.17913e+09,-98.7993
5.17913e+09,-92.2237
5.17913e+09,-91.0654
5.17913e+09,-96.9018
5.17913e+09,-93.5199
5.17913e+09,-86.5484
